"","p001_Gop_NR","p002_Gop_R","p003_Gop_NR","p004_Gop_R","p005_Gop_NR","p006_Gop_R","p007_Gop_R","p008_Gop_NR","p009_Gop_NR","p010_Gop_NR","p011_Gop_NR","p012_Gop_R","p013_Gop_R","p014_Gop_NR","p015_Gop_R","p016_Gop_NR","p017_Gop_R","p018_Gop_R","p019_Gop_NR","p020_Gop_R","p021_Gop_R","p022_Gop_R","p023_Gop_R","p024_Gop_NR","p025_Gop_R","p071_Fra_NR","p072_Fra_R","p065_Fra_NR","p066_Fra_R","p067_Fra_R","p068_Fra_R","p069_Fra_NR","p070_Fra_R","p093_Fra_R","p103_Fra_R","p102_Fra_R","p101_Fra_R","p100_Fra_NR","p090_Fra_NR","p089_Fra_NR","p082_Fra_NR","p081_Fra_R","p084_Fra_NR","p083_Fra_NR","p086_Fra_NR","p085_Fra_NR","p088_Fra_R","p087_Fra_NR","p098_Fra_NR","p099_Fra_NR","p092_Fra_NR","p076_Fra_NR","p077_Fra_NR","p078_Fra_R","p073_Fra_NR","p074_Fra_R","p075_Fra_NR","p096_Fra_R","p097_Fra_R","p094_Fra_R","p095_Fra_NR","p079_Fra_R","p080_Fra_R","p091_Fra_R","p039_Mat_NR","p053_Mat_R","p032_Mat_R","p029_Mat_NR","p030_Mat_NR","p031_Mat_NR","p033_Mat_NR","p038_Mat_NR","p055_Mat_NR","p059_Mat_NR","p027_Mat_R","p026_Mat_NR","p064_Mat_NR","p042_Mat_NR","p028_Mat_NR","p051_Mat_R","p047_Mat_R","p046_Mat_NR","p044_Mat_R","p045_Mat_NR","p048_Mat_R","p054_Mat_NR","p057_Mat_R","p056_Mat_NR","p050_Mat_NR","p058_Mat_R","p061_Mat_R","p060_Mat_R","p062_Mat_NR","p052_Mat_R","p063_Mat_R","p035_Mat_NR","p049_Mat_NR","p037_Mat_R","p034_Mat_NR","p036_Mat_NR","p040_Mat_R","p043_Mat_NR","p041_Mat_NR","p005_Val_NR","p006_Val_NR","p007_Val_R","p026_Val_NR","p018_Val_R","p019_Val_R","p003_Val_R","p004_Val_NR","p001_Val_NR","p002_Val_R","p021_Val_R","p020_Val_NR","p024_Val_R","p027_Val_R","p023_Val_R","p022_Val_R","p015_Val_R","p014_Val_NR","p017_Val_R","p016_Val_NR","p011_Val_R","p010_Val_R","p013_Val_R","p012_Val_R","p009_Val_NR","p008_Val_R","p025_Val_R"
"ref_mOTU_v2_0076",0,0,0,0,0,0,0.792195114886598,0,0,1.51458535153102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249748944410409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05282957543757,0,0,0,0,0,0.220812207782586,0,0.0734878269628745,0,0,0,0,0,0,0,0,0,0,0,0.119170747798045,0,0,0,0,0,0,0,0,0.666420400711508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54241912428909,0,0,0,0,0.215591425256047,0,0,0,0,0.58920127199125,0,0,0,0,0,0,0.287193678758273,0.0816521982662478,0,0,0.141083113494562,0.142491626112762,0,0,0,0,0,0,0,0,0,0,0
"ref_mOTU_v2_0079",0,0,0,0,0,0,0,0,0,0.419718716093251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284903411578819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606513532778733,0,0,0.604347842029748,0.153187793257789,0,0,0,0,0,0,0,0,0,0,0.310989297574845,0,0,0,0,0.0711497183538985,0,0,0,0,0,0.0534511397092155,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57273840254305,0,0,0.33698556010843,0,0,0,0.117841305492947,0,0.142491626112762,0,0.111819126936454,0,0,0,0,0.324472851824395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47791519469717,0,0,0,0
"ref_mOTU_v2_0096",0,0,0,0,0,0,0,0,0,0,0,0,0.171563703627458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597400397941804,0,0.159567479280132,0,0,0,0.0688537897791982,0,0,0.143156714015913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181573516728403,0,0,0.204738915021036,0,0,0,0,0,0,0,0.117841305492947,0,0,0,0,0,0,0,0,0,0,0,0.520357405155492,0,0,0.15492771363833,0,0.335748055531003,0,0,0,0,1.02389047701998,0,0,0,0,0,0,0,0,0,0
"ref_mOTU_v2_0116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619171163310511,0,0,0.172274750867238,0.0784309116061332,0.0819887112396387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.717095279785603,0,0,0,0,0,0,0,0,0.0727649066418858,0,0,0,2.57079085862626,0,0,0,0,1.28885969349998,0,0.11613758553786,0,0,0,0,0,0,0,0.140642647381967,0,0,0,0,0.22593457747268,0,0,0,0,0,0,0,0,0,0,0,0,1.55604692726845,0,0,0,0,0,0,0.600868210583124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567965398198144,0,2.7109585286292,0,0,0,0,0,0,0,0,0,0.584842301175918,0,0
"ref_mOTU_v2_0125",0,0,0,0,0,0,0,0,0,0,0.242265650653815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172274750867238,0.152816943959285,0.815730725481207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280508568329989,0,0,0.273850162753013,0,0,0,0.103910631415987,0,0.0727649066418858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26945724868908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324546152943868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ref_mOTU_v2_0131",0,0,0,0,0,0,0,0,0,0,0,0,0.171563703627458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129802925231585,0,0,0,0,0,0,0,0.150897125722127,0,0,0,0,0,0.052890638657082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206135693602085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046685679812085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157854739110448,0,0,0,0,0,0,0,0.590546350508828,0
"ref_mOTU_v2_0138",0,0,0.776179026174427,0,0,0.305599980329488,0,0,0,0,0,0,0,0,0,0.203045616151874,0.325982201921919,0,0,0,0.558793567696354,0,0,0,0,0.187431719793515,0.0619171163310511,0,0.0711006176162595,0,0.0784309116061332,0.233186584716064,0,0,0,0.0688537897791982,0.5640023720081,0.224753056705539,1.10266268665985,0,0.129802925231585,0.608312987998537,0.123731828891483,0,0,0,0,0.363074582360659,0,0,0,0,2.53468929423993,0.142816320141014,0.923104434323195,0,0.271331873974342,0,0.130395794846599,0.0727575657699413,0,0.523008208882355,0.331511675548137,0,0.0966392320001556,0.0842541486530638,0.293725487907806,0,0,0.245457376920253,0,0,0.115375578508999,0.0785612066346567,0,0,0.0534511397092155,0.0557115841473206,0.1020682970438,0,0,0.0967705456139431,0,0,0,0.094692798511451,1.05169323418149,0.285833097272078,0.237730813807416,0,0,0,0.172725610360227,0,0.757592834122588,0.50628096413917,0,0.376162576217618,0.543994294872083,0,0,0.111819126936454,0,0.365554385524389,0,0,0,0.232318545158179,0.524960303097248,0.283513216714091,0.339264367020132,0.171380064642699,0,0,0,0,0,0.387580989605334,0.142491626112762,0,0.157854739110448,0,0,0.447552261704427,0,0,0.292391419503003,1.45920213808722,0,0.223012446433401
"ref_mOTU_v2_0143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237685016301244,0,0,0,0,0,0.0774205294130353,0.0794680214087101,0,0.108141941171211,0.424885285235191,0,0,0,0,0,0,0,0.187188187270424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896650767041478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ref_mOTU_v2_0144",0,1.01548393626044,0.307463139212112,2.08564435257927,0.338784152067962,0,0,0.355564075503778,0,0,0.449638036121739,0,0.171563703627458,0,0,0,0,0,0.854459157184647,0.194255721713451,0,0.140931392169893,0.240003437178453,1.53107043621919,0,0.0967575604821824,0.121285888013542,0,0.489689314718325,0.592000298801569,0.417071265384102,0.0819887112396387,0.576512038932148,0.0568332128955956,0.212523724271231,1.15190788385555,0.176913957501392,0.357227694165804,0.790965152377415,1.31326641070313,0.2488850939601,0.335983690108782,0.779382885736113,0.739959539963384,0,0,0.0589731443468451,0.894132412728693,2.54878803378181,0.698584622581635,1.03220701432928,0.951640168724991,1.1735801719835,0,0.377101971982277,0.124587167789305,0.499621976214773,0.148625470286076,0.249976702209441,0.331848674938179,3.4861951880454,0.335905108342738,1.30093005501918,0.376195457788648,0.119820395620715,0.239298523443855,0,2.12206733567186,0.255953258731648,0,0.437094470450918,0.865508826079117,0,0.223908375120813,1.81218952788142,3.49707642310006,0.104992487272588,0.0557115841473206,0.19739010576387,0.281166661873622,0,0,1.75384210197525,0.0577501571966107,0.0557718954114192,3.03400935257266,0.417164370326756,0.241956132202045,0,0,0.124008522136988,0.205837160541915,0.0889461937621716,0.135755469320891,0.119466966009624,0.189195781303334,0.126024645721405,0,0.0716106914908134,0.501045997399784,3.53491999141136,0.0569926396154378,0.0922242338023989,0.0759715218751713,0.413400953205019,0.536568293862531,0.462900629967926,0.0974604893642962,0.309638055716998,0.445647727255389,0.179581971012457,0,0.422337963280935,0,0,0.402308482777804,0,1.95476036169346,0,0.148971081756753,0.987560549802881,0,0.0848339733454095,0.886503786541833,0.476605699141432,0,2.09007257214929,0,0.325280997517155,0.586408811660221
"ref_mOTU_v2_0145",0,0.328141625610084,0,1.55914317490955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648005701832675,0,0,0,0,0.0711006176162595,0.117104374555617,0.152816943959285,0,0.0766715148826072,0,0,0.134570622237007,0,0.224753056705539,0.273381725052844,0,0,0,0,0,0,0,0,0.192928882574237,0.912325877018707,0.481710647243547,0.747901071847362,0.108141941171211,0.155950277961713,0,0.153187793257789,0.0636380417634778,0.142035330347292,0,0,0.0727575657699413,2.90020375206848,0,0.229244326058358,0,0,0,0,1.42039426118976,0.0904580455549062,0,0.933545526647927,0.304338192165752,0,0.0785612066346567,0.313910366716715,0.49526973197724,0,0,0.15051632157519,0,0,0,0.534920004296851,0,0,1.01261875952864,0.181573516728403,0.0517465734692859,0,0,0.0633362630912813,0,0,0,0.119466966009624,0,0,0,0,0.142491626112762,1.11264358503749,0,0.0922242338023989,0,0.413400953205019,0,0.324472851824395,0,0,0.100823064148791,0,0,0,0,0,0,0,0.141083113494562,0,0,0.230744667654132,0,0,0,0,0,0.292391419503003,0,0,0
